timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
37288,-0.0479,0.3735,-0.1484,-3.2654,12.0907,-3.7842
37307,-0.1053,0.3831,-0.1293,-2.7618,9.5768,-3.4637
37326,2.8491,0.3543,21.2557,-2.5330,12.3301,-3.7384
37346,2.8347,0.3926,21.2414,-2.3804,10.5345,-3.4180
37366,-0.0048,0.3879,21.2318,-2.7008,8.8585,-3.3722
37385,-0.1006,0.3160,21.2461,-3.2043,10.7739,-3.7842
37404,-0.1484,0.3639,-0.1484,-3.0975,13.5272,-0.0153
37423,-0.0575,0.3783,-0.0766,-2.8534,10.2951,-3.5858
37442,-0.0958,-0.1101,-0.1053,-2.5482,7.6614,-3.4637
37461,2.7869,-0.1532,21.1839,-2.6703,9.4571,-3.3264
37480,-0.0910,0.3783,21.2031,-2.9602,13.1681,-3.5400
37499,-0.0910,-0.0958,21.2845,-3.2196,14.1258,-3.8605
37518,-0.0383,0.4166,-0.1101,-3.3112,11.4922,-3.6469
37537,-0.1006,0.4166,-0.1293,-2.4719,11.7316,-3.6163
37556,2.7677,0.4501,-0.1149,-3.1128,13.6469,-3.7384
37575,-0.1101,-0.1101,-0.0622,-2.4414,9.2177,-3.4180
37594,-0.0814,0.3304,-0.1484,-2.6855,10.0556,-3.6011
37613,-0.1149,-0.1437,21.2605,-2.7161,12.9287,-3.5858
37632,-0.0479,0.3926,21.2749,-2.6703,8.4994,-3.4485
37651,-0.0239,0.3352,-0.1437,-2.7466,13.2878,-3.5706
37670,2.7964,0.3591,-0.1437,-3.2654,10.4148,-3.6316
37689,-0.0048,0.4214,-0.0527,-3.0823,12.4498,-3.6316
37708,-0.0622,0.4214,21.2653,-2.9144,13.4075,-3.7231
37727,2.7869,0.3974,21.2222,-3.1281,13.4075,-3.7842
37747,2.5474,-0.1245,-0.0670,-3.1281,-14.6046,-3.6926
37766,-0.0383,0.4262,21.2222,-3.4790,13.6469,-3.7231
37785,-0.0718,0.3687,21.2509,-3.0212,11.6119,-3.6316
37804,-0.0575,-0.0096,-0.1437,-2.8229,10.1754,-3.3112
37823,2.8826,0.3065,-0.0958,-2.5482,8.2600,-3.4485
37842,-0.0622,0.4070,-0.0048,-3.0823,9.5768,-3.6316
37861,-0.0479,0.4549,21.2509,-2.5330,7.6614,-3.4332
37880,-0.0718,-0.1389,21.2940,-2.7466,10.2951,-3.3112
37899,2.7725,0.3783,-0.0192,-2.9602,-12.5696,-3.6926
37918,2.8252,0.4070,21.2749,-2.7924,10.7739,-3.4485
37938,-0.0766,-0.1245,-0.0814,-2.7466,7.3023,-3.3264
37957,-0.0383,0.3496,-0.0192,-3.4790,11.0133,-3.7231
37976,-0.1484,0.3304,-0.1149,-3.3569,-14.7243,-0.0763
37995,-0.0622,0.3735,21.2222,-2.3346,10.5345,-3.7994
38014,-0.0048,0.3543,21.2174,-2.6703,8.3797,-3.7079
38033,-0.0335,0.3352,-0.1341,-2.4872,7.1826,-3.4790
38052,-0.0527,-0.1006,21.2270,-2.6703,10.2951,-3.7537
38071,2.7773,0.3591,-0.0144,-3.3417,-15.0835,-3.7994
38090,-0.1484,0.3783,-0.0096,-3.1891,13.0484,-3.5858
38109,2.7629,0.3974,-0.0622,-2.4872,8.3797,-3.5400
38128,2.8060,-0.1293,-0.1484,-2.4261,10.4148,-3.5095
38147,2.7629,0.3256,21.1456,-2.8534,9.2177,-3.8605
38167,-0.0048,-0.1437,21.2174,-2.6093,11.6119,-3.7689
38186,-0.0718,0.4070,21.1935,-2.9602,13.8864,-3.9062
38205,2.8299,0.3639,21.2461,-3.0518,14.2455,-3.6926
38225,-0.0383,0.4357,-0.1437,-2.8534,15.2032,-3.6316
38244,2.7821,-0.0144,21.2414,-3.1128,-15.3229,-3.6469
38263,-0.0622,0.3879,-0.1197,-3.0518,12.6893,-3.4637
38282,-0.0670,0.4357,-0.1101,-2.8381,-13.8864,-3.8452
