timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
1753,-0.0670,-1.7909,23.0514,9.6436,42.7365,-2.1210
1772,4.2952,2.7773,-0.1149,-23.2544,44.8913,-3.4485
1791,-0.1149,-0.0527,-0.0670,-0.1678,67.3968,-0.5188
1810,-0.0335,-0.0622,23.4392,-0.1221,-22.3858,0.2899
1829,-0.0048,1.9345,19.1345,-0.0916,38.1875,-6.8207
1848,0.6129,-0.0383,-0.0096,-1.2360,-7.7812,-1.6327
1867,1.6089,-0.1293,23.0897,8.4991,-14.7243,-1.9836
1886,-0.0144,-0.0622,19.1392,-1.4343,-52.5527,-10.8032
1905,-0.0814,-0.1532,21.9022,-2.3041,100.6762,-1.8158
1924,-0.0958,-0.0192,-0.0239,1.8005,-113.3654,0.5798
1943,-0.0718,-0.0192,18.8424,-0.8545,5.0278,-6.0577
1962,-0.0575,-0.1197,-0.1437,1.8158,-12.2104,-3.7537
1981,3.1556,-0.1532,-0.0670,-1.4496,-88.3460,-2.3956
2000,5.2577,3.8068,-0.0479,-17.7612,-58.8974,-7.3547
2019,-0.0814,-0.6033,22.4959,-3.7537,129.7657,1.6479
2038,-0.0383,-0.1101,22.3714,-2.1362,-5.8658,-1.6479
2057,4.9704,-0.0910,-0.0527,-1.4191,-83.9168,-11.3220
2076,2.5379,-0.0239,23.3483,-0.9918,-8.4994,-0.2289
2095,2.1883,-1.4174,21.5239,-0.8240,-2.1548,-1.5869
2114,-0.0622,-0.0958,20.8583,-0.4578,-50.6374,-10.8185
2133,-0.0479,2.2362,-0.1437,-1.8921,-1.0774,-3.5400
2152,3.3998,0.3256,-0.0958,-10.4828,-14.0061,1.3428
2171,0.1149,-0.0862,21.5861,-0.0305,76.3750,-7.2174
2190,3.8020,-0.4932,0.0000,-0.7782,-4.3096,-2.5482
2209,2.4900,-0.1484,-0.0048,-14.9231,-11.4922,-6.6376
2228,-0.1293,-0.4741,21.8351,-1.8768,126.2941,0.8850
2247,1.2354,-0.0958,23.6451,8.4686,-23.8223,0.7172
2267,0.9529,-0.1197,19.9581,1.2360,-112.0486,-1.1902
2286,-0.1101,-0.0718,-0.0910,-2.9602,-14.8441,-1.1597
2305,2.5953,0.0862,21.4856,-6.6071,73.8611,5.6610
2325,2.4565,0.3208,19.4553,1.5717,-4.9081,-1.4648
2345,1.0678,-1.1971,21.7872,0.9460,133.4767,1.2512
2365,-0.1437,-2.0877,-0.1006,-1.9379,44.6519,-1.6937
2384,-0.0527,-0.1484,19.6947,-1.0376,-141.6170,-1.4954
2403,-0.0575,-0.1101,21.4760,-0.5188,-11.9710,-0.8850
2422,-0.0144,-0.1149,22.1559,-1.3885,-0.2394,8.4991
2441,-0.1484,-0.0335,19.9676,-1.5259,-6.4643,-0.7019
2460,-0.0479,1.0343,22.0745,3.9520,-57.5805,-0.6561
2479,-0.0431,-0.0527,20.0203,-1.6174,4.4293,-1.9684
2498,3.7014,1.3264,-0.1245,-1.0681,12.9287,-1.8311
2517,-0.0144,-0.0910,22.4145,-1.1292,135.9907,-1.0529
2536,-0.1532,-0.1341,-0.1006,-3.1433,-80.2058,-1.1139
2555,-0.0335,-0.1101,-0.1101,-10.5743,-8.1403,-1.4801
2574,1.5754,-0.0575,23.4297,-0.0153,-9.6965,4.9286
2593,3.1029,-0.0192,20.9301,-0.9155,-25.3785,-0.8240
2612,-0.0575,2.1787,20.2837,-6.8054,-2.5139,-0.0458
2631,-0.0814,-0.8523,-0.0527,-6.2714,164.8408,5.6000
2650,-0.0622,-0.1532,-0.0431,-1.0223,-10.7739,-1.7242
2669,-0.0622,-1.1492,21.2222,7.9956,45.6095,-0.0153
2688,-0.1389,-0.1389,22.7210,-3.3112,-55.7849,-0.8240
2707,3.1651,1.3072,19.1392,-0.5493,4.4293,-7.7209
2727,3.7781,-0.0718,-0.1484,-6.4697,65.4814,-3.8757
2746,-0.1053,-0.1006,-0.1006,-0.4730,-8.6191,4.7760
2765,0.6800,0.1245,20.2358,4.0436,-5.1475,-1.4648
2804,-0.1437,0.0814,23.0466,-6.7291,69.4318,0.8392
2823,-0.0287,0.9290,19.6756,-2.7618,4.6687,-0.3357
2842,-0.0239,-0.0622,22.4911,5.4016,-0.2394,-0.2441
2861,3.4046,0.3160,-0.0335,-1.4496,-90.9797,-3.2196
2880,-0.0766,3.8116,-0.0575,-14.0991,-115.7596,-11.0931
2937,-0.0910,-0.4884,20.3268,-3.2654,-13.0484,-1.2665
2957,-0.0144,0.0192,-0.0622,-1.0529,-77.2130,-1.1292
2976,3.7110,1.9058,-0.0431,-15.6097,-14.1258,-0.0305
2995,2.4708,-0.1437,20.3363,-1.8005,-1.9154,-2.7466
3014,1.6807,-2.3032,23.1232,-0.7935,-1.4365,-3.8452
3033,-0.0048,1.2546,-0.0766,-1.2360,-1.5562,-1.6785
3052,4.6974,-0.0479,20.2933,-1.7700,-7.0629,-10.3607
3071,-0.1532,-0.0431,-0.0383,-1.1597,153.7077,-0.3510
3090,-0.1437,-0.0862,-0.1437,1.2512,-12.3301,-6.9275
3109,-0.0718,-0.1389,-0.0431,-6.4697,-5.1475,-14.0076
3128,-0.0862,-0.0862,-0.0431,-6.0425,105.4646,8.2092
3147,1.0104,-0.0479,20.3028,8.8959,2.1548,-0.2594
3167,1.9345,-0.0622,22.1751,5.3406,-12.3301,-1.6174
3186,3.4668,2.1739,21.1552,-1.4648,-116.9568,-0.6866
3205,4.9752,-0.0527,-0.1006,-11.2610,-9.2177,-1.0681
3224,-0.1006,-0.0862,22.3954,1.3428,137.1878,-1.6022
3243,2.5666,0.0431,21.8112,0.0000,-78.6495,-1.6022
3262,4.6639,2.8683,19.3212,-7.6294,-90.6205,-0.4272
3281,1.6233,-1.8100,23.4009,-2.5482,154.0669,-0.6714
3300,-0.0670,-0.1389,20.9157,5.3864,4.4293,-1.6174
3319,-0.0910,2.2505,-0.0192,-2.1820,-1.3168,-14.2212
3338,-0.0718,-1.1588,23.4297,-6.6528,123.6605,-0.2899
3357,-0.0814,-1.8052,19.9485,-1.4343,-2.7533,0.8545
3376,1.9537,-0.1293,-0.0383,-0.5341,75.5371,-7.8125
3395,2.8683,-0.0910,-0.0910,-2.1210,-7.9009,-1.0529
3414,-0.0670,0.6464,-0.1341,-6.4545,37.1101,-1.6327
3433,0.6943,-0.0479,-0.0670,-1.6174,96.3666,-2.6093
3452,-0.0239,-0.9146,22.7976,11.9019,-5.9855,-0.5341
3471,-0.1532,-0.0718,19.6420,-10.4065,-121.5057,-1.7395
3490,3.1747,1.9537,21.5526,-0.2136,-3.3519,-1.4191
3509,-0.1053,-1.8004,-0.1149,-1.0681,-13.6469,-1.9073
3528,-0.1532,-0.0431,-0.0670,0.3052,-3.2322,-1.3428
3547,-0.0862,3.4141,-0.1245,-5.9662,-81.4029,-0.7172
3566,-0.0479,-0.0527,-0.0383,-1.7548,93.3739,-1.1444
3585,1.6568,0.0622,20.3411,-1.0834,-78.2904,-0.3357
3604,-0.1006,-0.1437,-0.0910,-3.1586,-13.5272,-1.6785
3623,-0.0766,-0.1389,19.9676,-0.5646,-0.2394,-1.3428
3642,1.3264,-0.8332,-0.0287,0.0153,-8.8585,-0.6104
3661,-0.1197,2.7869,-0.1197,4.1199,-1.0774,-1.0986
3680,3.8259,0.3160,-0.1293,-17.8070,105.9434,0.6409
3700,1.5897,-0.0335,-0.0144,-0.4883,12.4498,-3.2806
3719,3.1268,-0.0431,-0.0622,-0.8850,75.7765,-1.3123
3738,2.7964,2.5043,20.5758,-1.3275,-53.1513,-1.7090
3757,-0.1149,-0.0287,19.9389,-1.9379,-7.5417,-1.9226
3776,1.9393,-1.4461,-0.1484,-1.2817,33.0400,-1.5411
3795,-0.1197,0.4501,20.5327,-1.9073,-120.4283,-9.9792
3814,-0.1149,2.5091,20.9780,-0.0305,-27.5333,-10.9406
3833,1.9680,-0.1149,22.4002,-0.6256,-5.8658,-1.2970
3852,0.7566,-1.4126,19.3978,-0.5341,-3.7110,-1.1139
3871,3.1508,-0.0383,-0.1532,4.3793,-0.3591,-9.7809
3890,-0.0383,-0.0144,21.5095,-13.9313,-7.0629,4.2725
3909,1.9776,-0.0012,-0.0958,1.1902,-27.5333,-6.1188
3929,0.0958,-0.0048,22.1943,1.6479,-11.9710,-1.5259
3948,3.4429,-0.4980,22.7689,-1.6174,-119.3510,-0.2594
3967,4.9416,-0.0431,19.1105,-1.4496,-56.9820,-1.0986
3986,1.6664,1.0678,-0.1101,-7.3242,-9.6965,4.9133
4005,-0.0431,-0.1245,22.4911,-1.5259,-57.9397,0.0305
4024,4.6974,1.3120,-0.0239,-1.8768,-12.9287,-1.4496
4043,-0.0048,-0.0670,22.7689,-5.9814,135.3921,4.0283
4062,-0.0527,-2.0877,22.0889,-0.5951,6.3446,-1.3733
4081,-0.0383,-0.0479,20.2741,-2.5482,-8.7388,-1.4191
541,2.5809,-1.2210,20.0203,-2.3346,126.2941,4.7913
561,-0.1389,-0.0239,-0.0287,-1.4191,-22.5055,-1.5564
581,4.9943,-0.0622,-0.0814,8.1482,-89.7826,-6.2714
601,3.2034,-0.0958,21.2605,-0.2747,-7.0629,-2.3193
621,-0.1389,3.3998,-0.1053,-15.2588,-91.9373,-10.2692
641,-0.1197,-0.1341,-0.1006,-10.4980,65.3617,0.8087
661,-0.0287,-1.7238,-0.0527,-0.5798,-11.1330,-1.2817
681,-0.0192,-0.1101,20.0443,4.3640,37.4693,-2.9297
