accX,accY,accZ,gyroX,gyroY,gyroZ,label
2.7773,0.4549,-0.0048,-3.3112,12.4498,-3.6621,fault
2.8204,0.3783,-0.1437,-2.5787,9.2177,-3.3417,fault
-0.0335,-0.1341,21.2414,-2.594,10.8936,-3.418,fault
-0.1149,0.4501,-0.0239,-2.8381,12.4498,-3.7842,fault
-0.0383,-0.1389,21.1887,-3.006,11.0133,-3.6316,fault
2.8443,0.4357,21.2174,-2.5482,11.2527,-3.3417,fault
-0.0192,0.4357,21.1887,-2.7008,11.0133,-3.6621,fault
-0.1484,0.3639,-0.1484,-2.6398,9.6965,-3.4332,fault
2.8204,-0.1437,-0.1532,-2.4872,8.4994,-3.5248,fault
2.7869,0.3591,-0.1149,-3.2349,14.8441,-3.6316,fault
-0.0383,-0.1245,21.2892,-3.067,11.971,-3.6011,fault
-0.1389,-0.1532,21.1647,-2.6855,14.6046,-3.4637,fault
-0.1245,-0.0958,21.2509,-3.006,11.4922,-3.7231,fault
2.5857,0.4022,21.2126,-2.7313,11.0133,-3.4637,fault
2.7964,-0.1341,-0.0862,-2.243,7.3023,-3.6774,fault
2.5762,0.3591,-0.0431,-2.8076,12.5696,-3.5858,fault
-0.1101,-0.1293,-0.1053,-2.7466,14.0061,-3.6926,fault
2.7581,0.3496,-0.0479,-3.2654,11.133,-0.0458,fault
2.806,-0.0766,21.2366,-2.3499,11.8513,-3.5095,fault
-0.0431,0.3926,21.1791,-2.5787,11.0133,-3.6316,fault
-0.0287,0.3639,21.2797,-3.067,11.7316,-3.5858,fault
-0.0239,-0.1149,21.2414,-3.2959,15.0835,-3.5858,fault
-0.0575,0.4405,21.1887,-2.7924,7.9009,-3.7994,fault
-0.0335,0.431,21.2701,-2.7924,10.1754,-3.418,fault
-0.0144,0.4214,-0.0287,-2.6398,12.0907,-3.3875,fault
2.8443,0.3687,21.2892,-3.1433,-14.0061,-3.3417,fault
-0.1006,-0.0958,21.1504,-2.6398,3.9504,-3.5095,fault
-0.067,0.3591,21.1552,-3.1586,4.6687,-3.4637,fault
2.7629,-0.0239,-0.1053,-2.655,8.7388,-0.0458,fault
-0.0239,-0.1484,-0.0527,-2.8076,12.2104,-3.5706,fault
2.8108,-0.1149,21.2031,-2.7313,12.2104,-3.6469,fault
2.5953,0.3831,21.2031,-2.7924,11.2527,-0.1831,fault
2.8108,-0.0048,21.1504,-3.0365,11.6119,-3.7689,fault
2.7869,0.4166,21.2845,-2.9449,13.5272,-3.6011,fault
-0.0287,0.4166,21.2174,-2.7466,11.3725,-3.9062,fault
-0.1006,0.3974,21.2797,-2.5787,7.9009,-3.7689,fault
-0.0192,-0.1532,21.2509,-2.5635,9.5768,-3.6469,fault
-0.0862,0.3783,21.2653,-2.9602,11.2527,-3.8757,fault
-0.1389,0.3879,21.2222,-2.8534,12.809,-3.6316,fault
-0.0192,0.3879,21.1935,-2.7161,9.5768,-3.3875,fault
2.8635,-0.1149,21.2845,-2.655,14.0061,-3.4637,fault
2.7964,0.4118,21.1935,-3.0975,9.5768,-0.061,fault
-0.0575,0.4022,21.294,-2.9755,11.7316,-3.6316,fault
-0.0575,0.3687,21.2701,-2.594,8.8585,-3.5706,fault
-0.1341,-0.1341,-0.1293,-2.7618,6.4643,-3.4943,fault
-0.0718,0.431,-0.1389,-3.0518,10.0556,-3.3569,fault
2.8347,0.407,-0.067,-2.3804,9.098,-3.5858,fault
-0.1197,0.4118,-0.0814,-2.3193,8.26,-3.6163,fault
-0.0239,0.4501,21.2749,-3.1281,12.9287,-3.7384,fault
2.7916,0.4405,21.2557,-3.0212,13.5272,-3.5706,fault
-0.0479,-0.1389,-0.091,-3.0365,12.0907,-0.0153,fault
-0.0862,-0.1293,21.452,-2.7161,11.8513,-3.6011,fault
-0.0383,0.407,21.2078,-2.5787,7.7812,-3.5095,fault
2.7629,0.407,-0.1341,-2.5635,8.1403,-3.418,fault
2.8587,-0.1389,-0.0287,-2.7771,13.5272,-3.6163,fault
2.5666,0.4022,21.1456,-3.2806,14.6046,-3.7689,fault
-0.1006,-0.1437,21.2749,-3.006,13.7667,-3.9062,fault
-0.0287,0.4501,-0.1006,-3.2806,13.6469,-3.7842,fault
2.806,0.4501,-0.0431,-3.0823,12.6893,-3.7231,fault
2.7916,0.3974,21.294,-2.2125,8.6191,-3.4943,fault
